method,horizon,forecast_quarter,target_quarter,train_start,train_end,selected_variables
Elastic net,1,2014 Q1,2014 Q2,1994 Q1,2013 Q4,1
Ridge,1,2014 Q1,2014 Q2,1994 Q1,2013 Q4,NA
Threshold ridge,1,2014 Q1,2014 Q2,1994 Q1,2013 Q4,18
Post-threshold ridge,1,2014 Q1,2014 Q2,1994 Q1,2013 Q4,18
OCMT,1,2014 Q1,2014 Q2,1994 Q1,2013 Q4,3
BMT,1,2014 Q1,2014 Q2,1994 Q1,2013 Q4,1
AR,1,2014 Q2,2014 Q3,1994 Q2,2014 Q1,0
LASSO,1,2014 Q2,2014 Q3,1994 Q2,2014 Q1,0
Elastic net,1,2014 Q2,2014 Q3,1994 Q2,2014 Q1,3
Ridge,1,2014 Q2,2014 Q3,1994 Q2,2014 Q1,NA
Threshold ridge,1,2014 Q2,2014 Q3,1994 Q2,2014 Q1,17
Post-threshold ridge,1,2014 Q2,2014 Q3,1994 Q2,2014 Q1,17
OCMT,1,2014 Q2,2014 Q3,1994 Q2,2014 Q1,3
BMT,1,2014 Q2,2014 Q3,1994 Q2,2014 Q1,1
AR,1,2014 Q3,2014 Q4,1994 Q3,2014 Q2,0
LASSO,1,2014 Q3,2014 Q4,1994 Q3,2014 Q2,1
Elastic net,1,2014 Q3,2014 Q4,1994 Q3,2014 Q2,3
Ridge,1,2014 Q3,2014 Q4,1994 Q3,2014 Q2,NA
Threshold ridge,1,2014 Q3,2014 Q4,1994 Q3,2014 Q2,17
Post-threshold ridge,1,2014 Q3,2014 Q4,1994 Q3,2014 Q2,17
OCMT,1,2014 Q3,2014 Q4,1994 Q3,2014 Q2,3
BMT,1,2014 Q3,2014 Q4,1994 Q3,2014 Q2,1
AR,1,2014 Q4,2015 Q1,1994 Q4,2014 Q3,0
LASSO,1,2014 Q4,2015 Q1,1994 Q4,2014 Q3,3
Elastic net,1,2014 Q4,2015 Q1,1994 Q4,2014 Q3,5
Ridge,1,2014 Q4,2015 Q1,1994 Q4,2014 Q3,NA
Threshold ridge,1,2014 Q4,2015 Q1,1994 Q4,2014 Q3,18
Post-threshold ridge,1,2014 Q4,2015 Q1,1994 Q4,2014 Q3,18
OCMT,1,2014 Q4,2015 Q1,1994 Q4,2014 Q3,4
BMT,1,2014 Q4,2015 Q1,1994 Q4,2014 Q3,1
AR,1,2015 Q1,2015 Q2,1995 Q1,2014 Q4,0
LASSO,1,2015 Q1,2015 Q2,1995 Q1,2014 Q4,6
Elastic net,1,2015 Q1,2015 Q2,1995 Q1,2014 Q4,7
Ridge,1,2015 Q1,2015 Q2,1995 Q1,2014 Q4,NA
Threshold ridge,1,2015 Q1,2015 Q2,1995 Q1,2014 Q4,16
Post-threshold ridge,1,2015 Q1,2015 Q2,1995 Q1,2014 Q4,16
OCMT,1,2015 Q1,2015 Q2,1995 Q1,2014 Q4,4
BMT,1,2015 Q1,2015 Q2,1995 Q1,2014 Q4,1
AR,1,2015 Q2,2015 Q3,1995 Q2,2015 Q1,0
LASSO,1,2015 Q2,2015 Q3,1995 Q2,2015 Q1,6
Elastic net,1,2015 Q2,2015 Q3,1995 Q2,2015 Q1,7
Ridge,1,2015 Q2,2015 Q3,1995 Q2,2015 Q1,NA
Threshold ridge,1,2015 Q2,2015 Q3,1995 Q2,2015 Q1,18
Post-threshold ridge,1,2015 Q2,2015 Q3,1995 Q2,2015 Q1,18
OCMT,1,2015 Q2,2015 Q3,1995 Q2,2015 Q1,3
BMT,1,2015 Q2,2015 Q3,1995 Q2,2015 Q1,1
AR,1,2015 Q3,2015 Q4,1995 Q3,2015 Q2,0
LASSO,1,2015 Q3,2015 Q4,1995 Q3,2015 Q2,3
