method,horizon,forecast_quarter,target_quarter,train_start,train_end,actual,forecast,forecast_error,squared_error,absolute_error,selected_variables,lambda
Threshold ridge,1,2015 Q1,2015 Q2,1995 Q1,2014 Q4,0.6174946582536478,0.7048917385579105,-0.08739708030426274,0.00763824964570975,0.08739708030426274,16,2.6866439045346278
Post-threshold ridge,1,2015 Q1,2015 Q2,1995 Q1,2014 Q4,0.6174946582536478,0.5827392218299176,0.034755436423730246,0.001207940361003955,0.034755436423730246,16,2.6866439045346278
OCMT,1,2015 Q1,2015 Q2,1995 Q1,2014 Q4,0.6174946582536478,0.23884670156295829,0.3786479566906895,0.1433742751060343,0.3786479566906895,4,NA
BMT,1,2015 Q1,2015 Q2,1995 Q1,2014 Q4,0.6174946582536478,0.10045508811434667,0.5170395701393011,0.2673299170898333,0.5170395701393011,1,NA
AR,1,2015 Q2,2015 Q3,1995 Q2,2015 Q1,0.3994462115690211,0.6262341168649214,-0.22678790529590026,0.05143275398850222,0.22678790529590026,0,NA
LASSO,1,2015 Q2,2015 Q3,1995 Q2,2015 Q1,0.3994462115690211,0.45208159476325804,-0.05263538319423694,0.0027704835640041604,0.05263538319423694,6,0.15261061678645882
Elastic net,1,2015 Q2,2015 Q3,1995 Q2,2015 Q1,0.3994462115690211,0.4943054211057498,-0.09485920953672872,0.008998269633933005,0.09485920953672872,7,0.30522123357291764
Ridge,1,2015 Q2,2015 Q3,1995 Q2,2015 Q1,0.3994462115690211,0.4173521869965075,-0.017905975427486398,3.206239560097467e-4,0.017905975427486398,NA,2.666913869770274
Threshold ridge,1,2015 Q2,2015 Q3,1995 Q2,2015 Q1,0.3994462115690211,0.5114135423580963,-0.11196733078907523,0.012536683164030194,0.11196733078907523,18,2.666913869770274
Post-threshold ridge,1,2015 Q2,2015 Q3,1995 Q2,2015 Q1,0.3994462115690211,0.165876986724229,0.23356922484479212,0.05455458279459705,0.23356922484479212,18,2.666913869770274
OCMT,1,2015 Q2,2015 Q3,1995 Q2,2015 Q1,0.3994462115690211,0.2921606057831646,0.1072856057858565,0.011510201208838205,0.1072856057858565,3,NA
BMT,1,2015 Q2,2015 Q3,1995 Q2,2015 Q1,0.3994462115690211,0.21486355622801834,0.18458265534100277,0.034070756652735415,0.18458265534100277,1,NA
AR,1,2015 Q3,2015 Q4,1995 Q3,2015 Q2,0.18430917271050615,0.5342461517980049,-0.34993697908749877,0.12245588933288455,0.34993697908749877,0,NA
LASSO,1,2015 Q3,2015 Q4,1995 Q3,2015 Q2,0.18430917271050615,0.46973414926210627,-0.28542497655160015,0.08146741723948149,0.28542497655160015,3,0.17446097500546573
Elastic net,1,2015 Q3,2015 Q4,1995 Q3,2015 Q2,0.18430917271050615,0.4873081871604774,-0.30299901444997124,0.09180840275765388,0.30299901444997124,5,0.3330629088783722
Ridge,1,2015 Q3,2015 Q4,1995 Q3,2015 Q2,0.18430917271050615,0.4250060020744109,-0.24069682936390477,0.05793496366583669,0.24069682936390477,NA,2.6516516945358335
Threshold ridge,1,2015 Q3,2015 Q4,1995 Q3,2015 Q2,0.18430917271050615,0.5534391147384609,-0.3691299420279547,0.13625691410156118,0.3691299420279547,18,2.6516516945358335
Post-threshold ridge,1,2015 Q3,2015 Q4,1995 Q3,2015 Q2,0.18430917271050615,0.2714636466363452,-0.08715447392583905,0.007595902325289759,0.08715447392583905,18,2.6516516945358335
OCMT,1,2015 Q3,2015 Q4,1995 Q3,2015 Q2,0.18430917271050615,0.4143304229752491,-0.23002125026474293,0.0529097755733555,0.23002125026474293,3,NA
BMT,1,2015 Q3,2015 Q4,1995 Q3,2015 Q2,0.18430917271050615,0.3410436888305545,-0.15673451612004838,0.024565708543385707,0.15673451612004838,1,NA
AR,1,2015 Q4,2016 Q1,1995 Q4,2015 Q3,0.5778466518471248,0.44541655145168496,0.13243010039543984,0.017537731490746274,0.13243010039543984,0,NA
LASSO,1,2015 Q4,2016 Q1,1995 Q4,2015 Q3,0.5778466518471248,0.3095465975845936,0.26830005426253123,0.0719849191172772,0.26830005426253123,3,0.17937858616848576
Elastic net,1,2015 Q4,2016 Q1,1995 Q4,2015 Q3,0.5778466518471248,0.36103504949183934,0.21681160235528546,0.04700727091586642,0.21681160235528546,3,0.3937355537516058
Ridge,1,2015 Q4,2016 Q1,1995 Q4,2015 Q3,0.5778466518471248,0.5933035538490111,-0.015456902001886319,2.389158194959173e-4,0.015456902001886319,NA,2.726395011619106
Threshold ridge,1,2015 Q4,2016 Q1,1995 Q4,2015 Q3,0.5778466518471248,0.6582240968075871,-0.08037744496046229,0.006460533658372144,0.08037744496046229,18,2.726395011619106
Post-threshold ridge,1,2015 Q4,2016 Q1,1995 Q4,2015 Q3,0.5778466518471248,1.130260770012983,-0.5524141181658582,0.3051613579489627,0.5524141181658582,18,2.726395011619106
OCMT,1,2015 Q4,2016 Q1,1995 Q4,2015 Q3,0.5778466518471248,0.19911791976916432,0.3787287320779605,0.14343545250137957,0.3787287320779605,3,NA
BMT,1,2015 Q4,2016 Q1,1995 Q4,2015 Q3,0.5778466518471248,-0.024479698266945404,0.6023263501140702,0.36279703204173747,0.6023263501140702,1,NA
AR,1,2016 Q1,2016 Q2,1996 Q1,2015 Q4,0.32060956626729364,0.599917452510098,-0.27930788624280434,0.07801289531742332,0.27930788624280434,0,NA
